question,true_category,retrieved_categories,hit@1,hit@3,hit@5
How is this product used?,cat4_safety_sensitive,"['cat1_usage_product', 'cat1_usage_product', 'cat1_usage_product', 'cat1_usage_product', 'cat1_usage_product']",False,False,False
How do I use it?,cat2_diagnosis,"['cat1_usage_product', 'cat2_diagnosis', 'cat1_usage_product', 'cat2_diagnosis', 'cat1_usage_product']",False,True,True
OK.,cat1_usage_product,"['cat1_usage_product', 'cat2_diagnosis', 'cat1_usage_product', 'cat1_usage_product', 'cat4_safety_sensitive']",True,True,True
How many days after spraying can I eat the produce?,cat4_safety_sensitive,"['cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat4_safety_sensitive']",True,True,True
How much water does one bottle mix with?,cat1_usage_product,"['cat1_usage_product', 'cat1_usage_product', 'cat2_diagnosis', 'cat1_usage_product', 'cat4_safety_sensitive']",True,True,True
What weeds does it remove from rapeseed fields?,cat4_safety_sensitive,"['cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat2_diagnosis', 'cat3_aftersales_logistics']",True,True,True
-2 to -4°C,cat1_usage_product,"['cat1_usage_product', 'cat1_usage_product', 'cat4_safety_sensitive', 'cat3_aftersales_logistics', 'cat4_safety_sensitive']",True,True,True
How many days to see results?,cat4_safety_sensitive,"['cat4_safety_sensitive', 'cat1_usage_product', 'cat1_usage_product', 'cat1_usage_product', 'cat2_diagnosis']",True,True,True
Is there shipping insurance?,cat3_aftersales_logistics,"['cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics']",True,True,True
Why hasn't it shipped yet? Why has it been in the same place for a week?,cat3_aftersales_logistics,"['cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics']",True,True,True
Can mustard-type rapeseed be sprayed?,cat4_safety_sensitive,"['cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat1_usage_product', 'cat4_safety_sensitive']",True,True,True
I followed your ratio.,cat1_usage_product,"['cat1_usage_product', 'cat2_diagnosis', 'cat2_diagnosis', 'cat2_diagnosis', 'cat2_diagnosis']",True,True,True
How much product per tank of water?,cat2_diagnosis,"['cat2_diagnosis', 'cat2_diagnosis', 'cat1_usage_product', 'cat1_usage_product', 'cat1_usage_product']",True,True,True
Can you ship faster? I urgently need it.,cat3_aftersales_logistics,"['cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics']",True,True,True
Can my plant be saved in this state?,cat4_safety_sensitive,"['cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat4_safety_sensitive']",True,True,True
"My reason is that the delivery took a full week and never arrived, so my plants all died and I didn't go to collect it.",cat3_aftersales_logistics,"['cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics']",True,True,True
Please resend the correct item — you sent the wrong one.,cat3_aftersales_logistics,"['cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics']",True,True,True
How many jin of water does one bottle mix with?,cat1_usage_product,"['cat4_safety_sensitive', 'cat3_aftersales_logistics', 'cat1_usage_product', 'cat3_aftersales_logistics', 'cat1_usage_product']",False,True,True
Which product to use for curling leaves?,cat4_safety_sensitive,"['cat4_safety_sensitive', 'cat2_diagnosis', 'cat4_safety_sensitive', 'cat1_usage_product', 'cat4_safety_sensitive']",True,True,True
How many days after spraying at the recommended ratio can I eat the vegetables?,cat4_safety_sensitive,"['cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat4_safety_sensitive']",True,True,True
Is it freshly manufactured?,cat2_diagnosis,"['cat2_diagnosis', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics']",True,True,True
"Shao Zhiqi, 16732027310, Guanyun County, Lianyungang City, Jiangsu Province, Luhe Township, Houyao Village, Xingfu Residential Area.",cat3_aftersales_logistics,"['cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat3_aftersales_logistics', 'cat2_diagnosis']",True,True,True
That small bottle split across 10 buckets of water? / It says 15mg - you're telling me to use 1.5g of it?,cat4_safety_sensitive,"['cat4_safety_sensitive', 'cat1_usage_product', 'cat1_usage_product', 'cat2_diagnosis', 'cat1_usage_product']",True,True,True
Can it be eaten?,cat4_safety_sensitive,"['cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat4_safety_sensitive', 'cat4_safety_sensitive']",True,True,True
How many days will it take to arrive?,cat3_aftersales_logistics,"['cat3_aftersales_logistics', 'cat4_safety_sensitive', 'cat3_aftersales_logistics', 'cat1_usage_product', 'cat3_aftersales_logistics']",True,True,True
"Boss, it's been over ten days since I sprayed and the weeds still haven't died. Why?",cat1_usage_product,"['cat1_usage_product', 'cat2_diagnosis', 'cat2_diagnosis', 'cat2_diagnosis', 'cat4_safety_sensitive']",True,True,True
Where do you ship from? Roughly how many flower pots can one bottle treat?,cat3_aftersales_logistics,"['cat3_aftersales_logistics', 'cat1_usage_product', 'cat4_safety_sensitive', 'cat1_usage_product', 'cat1_usage_product']",True,True,True
My growing lettuce is developing yellow spots on the leaves — can it be fully cured?,cat2_diagnosis,"['cat2_diagnosis', 'cat2_diagnosis', 'cat2_diagnosis', 'cat4_safety_sensitive', 'cat2_diagnosis']",True,True,True
How many grams per sprayer tank?,cat2_diagnosis,"['cat2_diagnosis', 'cat1_usage_product', 'cat1_usage_product', 'cat1_usage_product', 'cat4_safety_sensitive']",True,True,True
What is the main function of this product?,cat2_diagnosis,"['cat2_diagnosis', 'cat3_aftersales_logistics', 'cat1_usage_product', 'cat1_usage_product', 'cat2_diagnosis']",True,True,True
