category,question,answer,source_file
cat1_usage_product,What does '4 grams mixed with 1 jin of water' mean?,"Hello, I'm here! That's the mixing ratio, dear customer.",cat1_usage_product_real_english.jsonl
cat1_usage_product,How do I do seed coating?,"Hello, I'm here! Mixing ratio and dosage:
1g of microbial agent mixed with 1 jin of water; 30g needs 30 jin of water to make a microbial solution.
Each mu of land needs 10–15 jin of solution; adjust the amount of agent based on total area.
2. Seed coating methods (two options):
Spray method: Place potato seed pieces in a basin, use a sprayer to evenly spray the microbial solution on the surface, turning while spraying until pieces are 'moist but not dripping'.
Soaking method: Soak seed pieces in the microbial solution for 10–15 minutes, remove and place in a cool, shaded area for 1–2 hours (until surface has no standing water), then plant.",cat1_usage_product_real_english.jsonl
cat1_usage_product,Can't I just apply it dry?,"Dear, it needs to be mixed with water. Yes, that's right!",cat1_usage_product_real_english.jsonl
cat1_usage_product,The label says it's for fava beans — doesn't that mean it's for spraying on fava beans?,"Yes, it works for that too, dear.",cat1_usage_product_real_english.jsonl
cat1_usage_product,"Boss, how much water does one bottle of this product mix with?","Hello, I'm here! 1g mixed with 1 jin of water, spray on foliage, use once every 5 days or so, increase dosage based on field size. 500g per mu. Improvement will be seen after 3–4 application cycles.",cat1_usage_product_real_english.jsonl
cat1_usage_product,"Got it, thank you boss! Wishing you a thriving business!","Hello, I'm here! You're welcome — that's what we're here for!",cat1_usage_product_real_english.jsonl
cat1_usage_product,Got it.,Alright!,cat1_usage_product_real_english.jsonl
cat1_usage_product,Then send me one — I'll try it first.,"Sure, dear~ I'll always be here ready to serve you!",cat1_usage_product_real_english.jsonl
cat1_usage_product,"Won't there be any problems? If something goes wrong, will you cover the losses?","There won't be any problems, dear. Just use it at the correct ratio.",cat1_usage_product_real_english.jsonl
cat1_usage_product,OK.,Alright dear~ I'll always be here ready to serve you!,cat1_usage_product_real_english.jsonl
cat1_usage_product,Increase nothing — Pinduoduo is ripping people off!,"I'm truly sorry, dear, for the poor shopping experience. We will work on improving.",cat1_usage_product_real_english.jsonl
cat1_usage_product,Is one small bottle 50g?,"Hello, I'm here! Yes, dear. Alright!",cat1_usage_product_real_english.jsonl
cat1_usage_product,One bottle is 50g — how much water? Can I use one tank? Will one tank work?,"Hello, I'm here! 50 jin of water, dear.",cat1_usage_product_real_english.jsonl
cat1_usage_product,I bought a potato seed coating agent but you sent me a fruit tree and flower disease-prevention product. Can that be used on potatoes?,"Yes, it can, dear.",cat1_usage_product_real_english.jsonl
cat1_usage_product,How is this used?,"Hello, I'm here! 1g mixed with 1 jin of water, spray on foliage, use once every 5 days or so, increase dosage based on field size. 500g per mu. Improvement will be seen after 3–4 application cycles.",cat1_usage_product_real_english.jsonl
cat1_usage_product,How much water does one bottle mix with?,"Hello, I'm here! 1g mixed with 1 jin of water, spray on foliage, use once every 5 days or so, increase dosage based on field size. 500g per mu. Improvement will be seen after 3–4 application cycles.",cat1_usage_product_real_english.jsonl
cat1_usage_product,Is this applied by sprayer?,"Dear, I'm here! Feel free to ask anything! 1g mixed with 1 jin of water, spray on foliage, use once every 5 days or so, increase dosage based on field size. 500g per mu. Improvement will be seen after 3–4 application cycles.",cat1_usage_product_real_english.jsonl
cat1_usage_product,How many jin of water for 50g?,"1g mixed with 1 jin of water, spray on foliage, use once every 5 days or so, increase dosage based on field size. 500g per mu. Improvement will be seen after 3–4 application cycles.",cat1_usage_product_real_english.jsonl
cat2_diagnosis,"Boss, it's been over ten days since I sprayed and the weeds still haven't died. Why?","Dear, how much water did you mix with?",cat1_usage_product_real_english.jsonl
cat1_usage_product,I followed your ratio.,"Dear, how much water exactly? Dear, I'm here! Feel free to ask anything!",cat1_usage_product_real_english.jsonl
cat3_aftersales_logistics,What is the weight/volume?,"Hello! 500ml, dear.",cat1_usage_product_real_english.jsonl
cat1_usage_product,"Is that jin or kilograms? OK, thanks!",You're welcome — that's what we're here for!,cat1_usage_product_real_english.jsonl
cat4_safety_sensitive,How is it used? Can it be watered in?,"Hello, I'm here! 1g mixed with 1 jin of water, spray on foliage, use once every 5 days or so, increase dosage based on field size. 500g per mu. Improvement will be seen after 3–4 application cycles.",cat1_usage_product_real_english.jsonl
cat1_usage_product,Is this a liquid or powder? Teach me how to use it and then I'll place an order. I've never used it before. How do I use it?,"It's a liquid, dear. 1g mixed with 1 jin of water; 1 package of 30g mixed with 30 jin of water. 1 package can coat 10 jin of seeds.",cat1_usage_product_real_english.jsonl
cat1_usage_product,Can it be used for succulents? How do I use it for soil cultivation?,"Hello, I'm here! Yes! Dear, our customer service is happy to explain usage. For water-soluble fertilizers and microbial agents, the standard ratio is 1g per 1 jin of water — water-soluble fertilizers are used for root irrigation, microbial agents by root irrigation or foliar spraying depending on the affected area. For pesticides, 5g per jin of water, spray on foliage. For daily maintenance, plain water works.
1 bottle cap of 30g = approximately 4–7g
1 bottle cap of 500g = approximately 30g (mixed with 30 jin of water)
1 bottle cap of 200g = approximately 15g
If using alongside other pesticides or plant medicines, apply them separately.
Best applied in the morning around 10:00 AM.",cat1_usage_product_real_english.jsonl
cat1_usage_product,-2 to -4°C,"Dear, -2°C is fine. Dear, I'm here! Feel free to ask anything!",cat1_usage_product_real_english.jsonl
cat1_usage_product,What is the mixing ratio?,"Ethyl... Dear, generally use the spray method: 10ml mixed with 30 jin of water. 40ml covers one mu. Spray once every 7 days for 2–3 consecutive applications.",cat1_usage_product_real_english.jsonl
cat1_usage_product,Will this work?,"Yes, it's fine, dear.",cat1_usage_product_real_english.jsonl
cat1_usage_product,"Got it, thank you!",You're welcome — that's what we're here for!,cat1_usage_product_real_english.jsonl
cat1_usage_product,How many ml of product per tank? I've been using it for a month with no results — is this a fake product? You're being irresponsible.,"24% sethoxydim — 1 packet mixed with 30 jin of water, dear.",cat1_usage_product_real_english.jsonl
cat1_usage_product,How many jin of water does one bottle mix with?,"1g mixed with 1 jin of water, spray on foliage, use once every 5 days or so, increase dosage based on field size. 500g per mu. Improvement will be seen after 3–4 application cycles.",cat1_usage_product_real_english.jsonl
cat1_usage_product,"""Sprayed it but saw no effect.","Dear, when used at the correct ratio, the results are very good.",cat1_usage_product_real_english.jsonl
cat1_usage_product,How long do I soak the potatoes directly?,5–7 minutes. You're welcome — that's what we're here for!,cat1_usage_product_real_english.jsonl
cat1_usage_product,How much product for 30 jin of water?,"500 jin, dear. Dear, I'm here! Feel free to ask anything!",cat1_usage_product_real_english.jsonl
cat1_usage_product,"After cutting the potato seed pieces, soak them in the microbial solution for 15 minutes, take them out, air-dry for 1–2 hours until the surface is dry, then plant — is that right, dear?","Hello, I'm here! Yes, that's correct, dear.",cat1_usage_product_real_english.jsonl
cat1_usage_product,How much water per bottle?,"Hello, I'm here! 1g mixed with 1 jin of water, spray on foliage, use once every 5 days or so, increase dosage based on field size. 500g per mu. Improvement will be seen after 3–4 application cycles.",cat1_usage_product_real_english.jsonl
cat1_usage_product,How many jin of water for 500g?,"1g mixed with 1 jin of water, spray on foliage, use once every 5 days or so, increase dosage based on field size. 500g per mu. Improvement will be seen after 3–4 application cycles.",cat1_usage_product_real_english.jsonl
cat1_usage_product,"For a 50g bottle, how much water to mix with and what area can it cover?","Hello, I'm here! 1g mixed with 1 jin of water, spray on foliage, use once every 5 days or so, increase dosage based on field size. 500g per mu. Improvement will be seen after 3–4 application cycles.",cat1_usage_product_real_english.jsonl
cat1_usage_product,How soon will it take effect?,"Results in 5–7 days, dear.",cat1_usage_product_real_english.jsonl
cat1_usage_product,"Got it, thanks dear!!",You're welcome — that's what we're here for!,cat1_usage_product_real_english.jsonl
cat1_usage_product,How many grams is one bottle? I can't see the specifications.,"Hello, I'm here! Yours is 50g, dear.",cat1_usage_product_real_english.jsonl
cat1_usage_product,"OK, thanks!",You're welcome — that's what we're here for!,cat1_usage_product_real_english.jsonl
cat1_usage_product,Did spraying it really work? I'm worried it won't have any effect.,"Dear, results in 5–7 days. Dear, the effect is really good!",cat1_usage_product_real_english.jsonl
cat1_usage_product,"OK, thank you!",You're welcome — that's what we're here for!,cat1_usage_product_real_english.jsonl
cat1_usage_product,One bottle per backpack sprayer tank?,"1g mixed with 1 jin of water, spray on foliage, use once every 5 days or so, increase dosage based on field size. 500g per mu. Improvement will be seen after 3–4 application cycles.",cat1_usage_product_real_english.jsonl
cat1_usage_product,How much do I use?,"Dear, the dilution ratio is 1g per 1 jin of water — pour into the hydroponic container, change the water every 5 days or so, and use for 3–4 cycles. Trim any severely yellowed leaves to prevent nutrient competition. Yellowing may also be caused by bacterial infection, which can spread — so trim the affected leaves, use the hydroponic solution at the correct ratio, then place in gentle sunlight to encourage rooting.",cat1_usage_product_real_english.jsonl
cat1_usage_product,For example?,"100g mixed with 30 jin of water, then spray.",cat1_usage_product_real_english.jsonl
cat1_usage_product,Can it be used on tea trees?,"Hello, I'm here! Not recommended.",cat1_usage_product_real_english.jsonl
cat1_usage_product,How many jin can one package coat?,"Mixing ratio: 1g of microbial agent mixed with 1 jin of water; 30g needs 30 jin of water to make microbial solution. Each mu needs 10–20 jin of solution; adjust agent amount based on total area. Seed coating methods (two options): Spray method: Place potato seed pieces in a basin, use a sprayer to evenly spray the solution on the surface while turning, until pieces are 'moist but not dripping'. Soaking method: Soak seed pieces in the solution for 10–15 minutes, remove and place in a cool, shaded area for 1–2 hours (until surface has no standing water), then plant.",cat1_usage_product_real_english.jsonl
